8070/3-C09.1,80703,C091,44499682,Squamous cell carcinoma of Tonsillar pillar,Condition,ICDO3,ICDO Condition,S,8070/3-C09.1,20150918,20991231,NULL
8070/3-C64.9,80703,C649,44499683,Squamous cell carcinoma of Kidney,Condition,ICDO3,ICDO Condition,S,8070/3-C64.9,20150918,20991231,NULL
8130/3-C67.1,81303,C671,44499684,Papillary transitional cell carcinoma of Dome of bladder,Condition,ICDO3,ICDO Condition,S,8130/3-C67.1,20150918,20991231,NULL
8140/3-C61.9,81403,C619,44499685,Adenocarcinoma of Prostate gland,Condition,ICDO3,ICDO Condition,S,8140/3-C61.9,20150918,20991231,NULL
8252/3-C34.1,82523,C341,44499688,"Bronchiolo-alveolar carcinoma, non- mucinous of Upper lobe, lung",Condition,ICDO3,ICDO Condition,S,8252/3-C34.1,20150918,20991231,NULL
8337/3-C73.9,83373,C739,44499692,Insular carcinoma of Thyroid gland,Condition,ICDO3,ICDO Condition,S,8337/3-C73.9,20150918,20991231,NULL
8370/3-C74.9,83703,C749,44499693,Adrenal cortical carcinoma of Adrenal gland,Condition,ICDO3,ICDO Condition,S,8370/3-C74.9,20150918,20991231,NULL
8490/3-C16.2,84903,C162,44499695,Signet ring cell carcinoma of Body of stomach,Condition,ICDO3,ICDO Condition,S,8490/3-C16.2,20150918,20991231,NULL
9382/3-C71.1,93823,C711,44499698,Mixed glioma of Frontal lobe,Condition,ICDO3,ICDO Condition,S,9382/3-C71.1,20150918,20991231,NULL
9680/3-C72.9,96803,C729,44499701,"Malignant lymphoma, large B-cell, diffuse of Nervous system",Condition,ICDO3,ICDO Condition,S,9680/3-C72.9,20150918,20991231,NULL
9761/3-C42.1,97613,C421,44499706,Waldenstrom macroglobulinemia of Bone marrow,Condition,ICDO3,ICDO Condition,S,9761/3-C42.1,20150918,20991231,NULL
8051/3-C02.0,80513,C020,44499716,Verrucous carcinoma of Dorsal surface of tongue,Condition,ICDO3,ICDO Condition,S,8051/3-C02.0,20150918,20991231,NULL
8070/2-C16.0,80702,C160,44499717,Squamous cell carcinoma in situ of Cardia,Condition,ICDO3,ICDO Condition,S,8070/2-C16.0,20150918,20991231,NULL
8071/3-C13.9,80713,C139,44499720,"Squamous cell carcinoma, keratinizing of Hypopharynx",Condition,ICDO3,ICDO Condition,S,8071/3-C13.9,20150918,20991231,NULL
8083/3-C20.9,80833,C209,44499722,Basaloid squamous cell carcinoma of Rectum,Condition,ICDO3,ICDO Condition,S,8083/3-C20.9,20150918,20991231,NULL
8071/3-C64.9,80713,C649,44499725,"Squamous cell carcinoma, keratinizing of Kidney",Condition,ICDO3,ICDO Condition,S,8071/3-C64.9,20150918,20991231,NULL
8140/3-C51.0,81403,C510,44499736,Adenocarcinoma of Labium majus,Condition,ICDO3,ICDO Condition,S,8140/3-C51.0,20150918,20991231,NULL
8160/3-C24.0,81603,C240,44499739,Cholangiocarcinoma of Extrahepatic bile duct,Condition,ICDO3,ICDO Condition,S,8160/3-C24.0,20150918,20991231,NULL
8250/3-C34.9,82503,C349,44499741,Bronchiolo-alveolar adenocarcinoma of Lung,Condition,ICDO3,ICDO Condition,S,8250/3-C34.9,20150918,20991231,NULL
9500/3-C76.0,95003,C760,44500529,"Neuroblastoma of Head, face or neck",Condition,ICDO3,ICDO Condition,S,9500/3-C76.0,20150918,20991231,NULL
9663/3-C38.3,96633,C383,44500533,"Hodgkin lymphoma, nodular sclerosis of Mediastinum",Condition,ICDO3,ICDO Condition,S,9663/3-C38.3,20150918,20991231,NULL
9680/3-C71.2,96803,C712,44500535,"Malignant lymphoma, large B-cell, diffuse of Temporal lobe",Condition,ICDO3,ICDO Condition,S,9680/3-C71.2,20150918,20991231,NULL
9741/3-C42.1,97413,C421,44500537,Malignant mastocytosis of Bone marrow,Condition,ICDO3,ICDO Condition,S,9741/3-C42.1,20150918,20991231,NULL
9815/3-C42.1,98153,C421,44500538,B lymphoblastic leukemia/lymphoma with hyperdiploidy of Bone marrow,Condition,ICDO3,ICDO Condition,S,9815/3-C42.1,20150918,20991231,NULL
9948/3-C42.1,99483,C421,44500539,Aggressive NK-cell leukemia of Bone marrow,Condition,ICDO3,ICDO Condition,S,9948/3-C42.1,20150918,20991231,NULL
8041/3-C34.9,80413,C349,44500542,Small cell carcinoma of Lung,Condition,ICDO3,ICDO Condition,S,8041/3-C34.9,20150918,20991231,NULL
8070/3-C53.9,80703,C539,44500545,Squamous cell carcinoma of Cervix uteri,Condition,ICDO3,ICDO Condition,S,8070/3-C53.9,20150918,20991231,NULL
8071/3-C00.4,80713,C004,44500546,"Squamous cell carcinoma, keratinizing of Mucosa of lower lip",Condition,ICDO3,ICDO Condition,S,8071/3-C00.4,20150918,20991231,NULL
8851/3-C64.9,88513,C649,44500547,"Liposarcoma, well differentiated of Kidney",Condition,ICDO3,ICDO Condition,S,8851/3-C64.9,20150918,20991231,NULL
8890/3-C48.0,88903,C480,44500548,Leiomyosarcoma of Retroperitoneum,Condition,ICDO3,ICDO Condition,S,8890/3-C48.0,20150918,20991231,NULL
8959/3-C64.9,89593,C649,44500550,Malignant cystic nephroma of Kidney,Condition,ICDO3,ICDO Condition,S,8959/3-C64.9,20150918,20991231,NULL
9020/3-C50.5,90203,C505,44500551,"Phyllodes tumor, malignant of Lower-outer quadrant of breast",Condition,ICDO3,ICDO Condition,S,9020/3-C50.5,20150918,20991231,NULL
9120/3-C44.4,91203,C444,44500552,Hemangiosarcoma of Skin of scalp and neck,Condition,ICDO3,ICDO Condition,S,9120/3-C44.4,20150918,20991231,NULL
9450/3-C71.1,94503,C711,44500556,Oligodendroglioma of Frontal lobe,Condition,ICDO3,ICDO Condition,S,9450/3-C71.1,20150918,20991231,NULL
9680/3-C18.4,96803,C184,44500560,"Malignant lymphoma, large B-cell, diffuse of Transverse colon",Condition,ICDO3,ICDO Condition,S,9680/3-C18.4,20150918,20991231,NULL
9680/3-C34.9,96803,C349,44500562,"Malignant lymphoma, large B-cell, diffuse of Lung",Condition,ICDO3,ICDO Condition,S,9680/3-C34.9,20150918,20991231,NULL
9680/3-C44.4,96803,C444,44500563,"Malignant lymphoma, large B-cell, diffuse of Skin of scalp and neck",Condition,ICDO3,ICDO Condition,S,9680/3-C44.4,20150918,20991231,NULL
9680/3-C71.1,96803,C711,44500564,"Malignant lymphoma, large B-cell, diffuse of Frontal lobe",Condition,ICDO3,ICDO Condition,S,9680/3-C71.1,20150918,20991231,NULL
9699/3-C34.9,96993,C349,44500568,Marginal zone B-cell lymphoma of Lung,Condition,ICDO3,ICDO Condition,S,9699/3-C34.9,20150918,20991231,NULL
8041/3-C67.3,80413,C673,44500575,Small cell carcinoma of Anterior wall of bladder,Condition,ICDO3,ICDO Condition,S,8041/3-C67.3,20150918,20991231,NULL
8051/3-C06.2,80513,C062,44500581,Verrucous carcinoma of Retromolar area,Condition,ICDO3,ICDO Condition,S,8051/3-C06.2,20150918,20991231,NULL
8070/3-C41.1,80703,C411,44500583,Squamous cell carcinoma of Mandible,Condition,ICDO3,ICDO Condition,S,8070/3-C41.1,20150918,20991231,NULL
8120/3-C67.0,81203,C670,44500588,Transitional cell carcinoma of Trigone of bladder,Condition,ICDO3,ICDO Condition,S,8120/3-C67.0,20150918,20991231,NULL
8130/3-C67.2,81303,C672,44500589,Papillary transitional cell carcinoma of Lateral wall of bladder,Condition,ICDO3,ICDO Condition,S,8130/3-C67.2,20150918,20991231,NULL
8490/3-C25.1,84903,C251,44501445,Signet ring cell carcinoma of Body of pancreas,Condition,ICDO3,ICDO Condition,S,8490/3-C25.1,20150918,20991231,NULL
8500/2-C50.1,85002,C501,44501446,"Intraductal carcinoma, noninfiltrating of Central portion of breast",Condition,ICDO3,ICDO Condition,S,8500/2-C50.1,20150918,20991231,NULL
8524/3-C50.4,85243,C504,44501447,Infiltrating lobular mixed with other types of carcinoma of Upper-outer quadrant of breast,Condition,ICDO3,ICDO Condition,S,8524/3-C50.4,20150918,20991231,NULL
8830/3-C48.0,88303,C480,44501448,Malignant fibrous histiocytoma of Retroperitoneum,Condition,ICDO3,ICDO Condition,S,8830/3-C48.0,20150918,20991231,NULL
8890/3-C54.1,88903,C541,44501450,Leiomyosarcoma of Endometrium,Condition,ICDO3,ICDO Condition,S,8890/3-C54.1,20150918,20991231,NULL
8936/3-C16.2,89363,C162,44501451,Gastrointestinal stromal sarcoma of Body of stomach,Condition,ICDO3,ICDO Condition,S,8936/3-C16.2,20150918,20991231,NULL
